,Address/City/Postal Code,Weblink,Number of Rooms,Return on Invesment,Purchase Price,Market Price,Pct Below Market Value,Potential Cash Flow,Finders Fee,Current Gross Income,Potential Gross Income,Cash Flow Required
10,"Bevan Street, Port Talbot, SA12 6ND",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=430,"  = £450 pcm = £5,400 per annum
as a hmo = £310 pcm per room = x 3 = £930pcm = £11,160 per annum",17%,"£68,000",,,£280,"£4,000","£5,400","£11,819","£28,040"
11,"Offerton Street, Sunderland, SR4 7EA",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=476,"  are currently let out as follows
offerton street – 3 bed rented at £515 pcm
houghton street – 2 bed rented at £485 pcm
lumley street – 2 bed vacant - potential to rent out at £450 pcm
current total income = £1,000 pcm = £12,000 per  annum
potential rental income = £1,450 pcm = £17,400 per annum",23%,,"£195,000",18%,"£1,050","£6,000",,"£17,400","£53,800"
12,"Leylands Lane, Bradford, BD9 5PX",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=475,", 7  the rooms have long term professional tenants.
please note the figures are conservative and the property could potentially achieve higher rent.
room 1 - (double) - vacant but could achieve £70 per week = £300 pcm
room 2 - (double en-suite) - tenanted currently achieving £70 per week = £300 pcm
room 3 - (double en-suite) – tenanted currently achieving £70 per week = £300 pcm
room 4 - (double en-suite) – tenanted currently achieving £70 per week = £300 pcm
room 5 - (double en-suite) – tenanted currently achieving £70 per week = £300 pcm
room 6 - (single) – vacant but could achieve £60 per week = £260 pcm
room 7 - (single) – vacant but could achieve £60 per week = £260 pcm
room 8 - (single) – vacant but could achieve £60 per week = £260 pcm
room 9 - (single) – vacant but could achieve £60 per week = £260 pcm
room 10 - (single) – vacant but could achieve £60 per week = £260 pcm
room 11 - (single) – vacant but could achieve £60 per week = £260 pcm
room 12 - (single) – vacant but could achieve £60 per week = £260 pcm
room 13 - (double) – tenanted currently achieving £70 per week = £300 pcm
room 14 - (double) – tenanted currently achieving £70 per week = £300 pcm
room 15 - (double) – tenanted currently achieving £70 per week = £300 pcm
current income = £2,100 pcm = £25,200 per annum
potential gross income = £4,220 pcm = £50,640 per annum",130%,,,,,"£3,000",,,"£7,800"
13,"Trimsaran, Llanelli, SA17 4DW",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=424,,,"£180,000",,,,"£6,000",,,"£102,400"
14,"Picton Road, Liverpool, L15 4LH",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=474,"  are all vacant, doubles and could be rented for
room 1 - double room could be rented for £420 pcm 
room 2 - double room could be rented for £420 pcm 
room 3 - double room could be rented for £420 pcm 
room 4 - double room could be rented for £420 pcm 
room 5 - double room could be rented for £420 pcm
potential gross income (full occupancy) = £2,100 = £25,200 per annum",128%,,,,,"£4,000",,,"£6,350"
15,"Princess Street, Luton, Bedfordshire, LU1 5AT",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=471," 8  are currently let out as follows :
apartment 1 - £670 pcm - 400 sq ft - 1 bed
apartment 2 - £600 pcm - 350 sq ft - 1 bed
apartment 3 - £625 pcm - 310 sq ft - 1 bed
apartment 4 - £675 pcm - 350 sq ft - 1 bed
apartment 5 - £623 pcm - 170 sq ft - studio
apartment 6 - £750 pcm - 410 sq ft - 2 bed
apartment 7 - £625 pcm - 360 sq ft - 1 bed
apartment 8 - £675pcm - 350 sq ft - 1 bed
apartment 9 - £29 - ground rent only - 1 bed
current income = £5,272 pcm = £63,264 per annum
flat 9 in the loft is the one sold off on a 99 year lease with 86 years left. investors can get a premium if the owners decides to renew it in the future. investors can also buy the unit for circa £120,000.
income breakdown per annum
ground rent = £ 350 
insurance contribution = £ 100
service charge = £ 1300
mortgage renewal acceptance last year = £100 
total per annum = £ 1850",13%,"£835,000","£950,000",12%,"£3,197","£7,500","£63,264",,"£292,500"
16,"Winterhey Avenue, Wallasey, CH44 4DX",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=470,"  is rented as follows :
room 1 – rented at £85 pw
room 2 – rented at £80 pw
room 3 – rented at £75 pw
room 4 – rented at £75 pw
room 5 – currently vacant but should let at £80 pw
current income = £1,365 pcm = £16,380 per annum
potential income fully let = £1,711 pcm = £20,540 per annum",35%,"£110,000","£135,000",19%,"£1,111","£4,000","£16,380","£20,540","£37,800"
17,"Leek New Road, Stoke on Trent, ST6 2LG",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=469,"  is currently empty but has been rented out this year at £450 pcm = £5,400 per annum",30%,"5£60,000",,,,"£3,000",,"£5,400","£6,295"
18,"Rawmarsh Hill, Rotherham, S62 6DP",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=468," 4  are currently let out for £456 each producing gross rent of £1,824 monthly and £21,888 annually.
room 1 – rented at £456 per month
room 2 – rented at £456 per month
room 3 – rented at £456 per month
room 4 – rented at £456 per month
current income = £1,824 pcm = £21,888 per annum
all flats above 30 sq. metres for mortgage lending. epc available on request.",18%,"£250,000",,,"£1,149","£5,000","£21,888",,"£76,000"
19,"Elmfield Road, Hyde Park, Doncaster, DN1 2BA",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=467,"  research rooms in this area are achieving £390 to £400 pcm.
currently, there are 2 of the 5 rooms are currently let :
room 1 - currently vacant but previously rented at £390 pcm
room 2 - currently vacant but previously rented at £390 pcm
room 3 - occupied, rented at £390pcm
room 4 - currently vacant, but previously rented at £368 pcm
room 5 - occupied, rented at £347 pcm
current gross income = £737 pcm = £8,844 per annum
potential gross income (full occupancy) = £1,885 pcm = £22,620 per annum
the owner requires tenants to pay £100 deposit for each room, bills and city services included on the rent.",30%,"£150,000","£180,000",17%,"£1,185","£4,000",,"£17,952","£47,000"
20,"Brady Street, Sunderland, SR4 6QQ Roker Avenue, Sunderland, SR6 0HS",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=226," 1 =  at £433 pcm
flat 2 = let at £433 pcm
flat 3 = let at £433 pcm
flat 4 = let at £433 pcm
current income = £1,733 or £20,800 per annum.
the properties are located in an area with good rental demand and we have a local agent would manage these properties making it a complete hands-free investment.",32%,"£160,000","£190,000",16%,"£1,333","£4,000","£20,800",,"£49,800"
21,"Guild Close, Birmingham, B16 8DU",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=466," 1 -  room could be rented for £450 pcm 
room 2 - double room could be rented for £450 pcm 
room 3 - double room could be rented for £450 pcm 
room 4 - double room could be rented for £450 pcm 
room 5 - double room could be rented for £450 pcm 
total potential income = £2,250 = £27,000 per annum",85%,,,,,"£3,000",,,"£6,000"
22,"Henry Street North, Murton, Seaham, SR7 9AW",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=462,"  are currently let out as follows. please note, there is scope to increase these rents as they have not been increased over the last 6 years.
henry street - 3 bed rented at £430 pcm - potential to increase to £500 pcm
foster avenue - 3 bed rented at £430 pcm - potential to increase to £500 pcm
somerset street - 2 bed rented at £300 pcm - potential to increase to £425 pcm
current income total = £1,160 pcm = £13,920 per annum
potential income = £1,425 pcm = £17,100 per annum",27%,"£140,000","£180,000",23%,£810,"£6,000",,"£17,100","£48,200"
23,"High Street, Brechin Angus, DD9 6EZ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=463," 1 ( away) - rented paying £800 pcm
shop 2 (salon) - rented paying £230 pcm
first floor 2 bed flat - rented paying £300 pcm
first floor 1 bed flat - rented paying £300 pcm
second floor 1 bed flat - rented paying £300 pcm
second floor 1 bed flat - rented paying £300 pcm
current income £2,230 pcm = £26,760 per annum",15%,"£338,888","£400,000",15%,"£1,440","£6,000","£26,760",,"£114,804"
24,"Hawthorne Terrace, Cornforth, DL17 9EP",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=460,"  : currently rented : £380 pcm = £4,560 per annum
charlotte street : currently rented : £325 pcm = £3,900 per annum
current income total = £705 pcm = £8,460 per annum",29%,"£65,000","£80,000",19%,£542,"£4,000","£8,460",,"£22,250"
25,"Buckhurst Road, Levenshulme, Manchester, M19 2DS",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=459,"  flats are rented at present producing a gross rent of £27,000 per annum.
flat 1 - 1 bed – rent £ 550 - 6 months ast - rolling contract
flat 2 - 1 bed – rent £ 550 - 6 months ast - rolling contract
flat 3 - 1 bed – rent £ 550 - 6 months ast - rolling contract
flat 4 - 2 bed – rent £ 600 - 6 months ast - rolling contract
current income = £2,250 pcm = £27,000 per annum",20%,"£315,000","£370,000",15%,"£1,660","£7,500","£27,000",,"£96,700"
26,"Rookery Road, Handsworth, Birmingham, B21 9NN",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=458,"  is let as follows :
ground floor flat - rented at £630 pcm
first floor flat - rented at £600 pcm
current gross income = £1,230 pcm = £14,760 per annum",12%,"£185,000",,,"£6,804","£4,000","£14,760",,"£56,800"
27,"Glanmor Road, Swansea, SA2 0PX",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=368,"  in the area remains healthy. currently, spareroom indicates that there are 71 people looking for rooms and 47 rooms available.
we have factored in a conservative figure of £375 pcm to £395 pcm per room, but believe that £400 pcm can be achieved.
room 1 - (double) - vacant but can be let at £375 pcm minimum
room 2 - (double) - vacant but can be let at £375 pcm minimum
room 3 - (double) - vacant but can be let at £395 pcm minimum
room 4 - (double) - vacant but can be let at £395 pcm minimum
room 5 - (double) - vacant but can be let at £395 pcm minimum
potential income = £1,935 pcm = £23,220 per annum",117%,,,,,"£3,000",,,"£7,300"
28,"Newchurch Street, Castleton, Rochdale, Lancashire, OL11 2SZ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=457," 5  are currently let out for an average of £400 pcm producing £24,000 annually.
room 1 - rented at £400 pcm
room 2 - rented at £400 pcm
room 3 - rented at £400 pcm
room 4 - rented at £400 pcm
room 5 - rented at £400 pcm
current gross income = £2,000 pcm = £24,000 per annum",32%,"£150,000","£200,000",,"£1,275","£5,000",,,"£48,000"
29,"Talbot Street, Normanton, WF6 2BL",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=456," 4  are currently let out for an average of £438 pcm producing £1,755 monthly and £21,060 annually.
room 1 – rented at £433 pcm
room 2 – rented at £368 pcm
room 3 – rented at £520 pcm
room 4 – rented at £433 pcm
current income = £1,754 pcm = £21,048 per annum",25%,"£150,000",,,"£1,005","£5,000","£21,048","£21,600","£48,000"
30,"Hollis Road, Coventry, CV3 1AG",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=455," 1 -  room could be rented for £475 pcm 
room 2 - double room could be rented for £475 pcm 
room 3 - double room could be rented for £475 pcm 
room 4 - double room could be rented for £475 pcm 
room 5 - double room could be rented for £475 pcm 
total potential income = £2,375 = £28,500 per annum",151%,,,,,"£4,000",,,"£6,350"
31,"Langton Close, Sunderland, SR4 7AS",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=454,"  are currently rented as follows:
property no 1
a 5 bedroom licensed hmo property will full wired smoke alarms and alarm system. the property 1 shower room downstairs and one main bathroom upstairs. each room has its own wash basin which is a nice feature.
there are currently 3 dss tenants in situ. all tenants will be leaving shortly so the property will be available empty.
room 1 - (double) - currently occupied achieving £450 pcm - can be rented for £350 pcm
room 2 - (double) - currently occupied achieving £265 pcm - can be rented for £350 pcm
room 3 - (double) - currently occupied achieving £230 pcm - can be rented for £350 pcm
room 4 - (double) - vacant - can be rented for £350 pcm
room 5 - (double) - vacant - can be rented for £350 pcm
current income = £945 pcm = £11,340 per annum
potential income fully let = £1,750 pcm = £21,000 per annum
property no 2
a property converted into 3 self contained apartments with cooking facilities and en-suite with a large shared kitchen on the ground floor.
apartment 1 - currently occupied achieving £420 pcm - can be rented for £400
apartment 2 - currently occupied achieving £500 pcm - can be rented for £400
apartment 3 - currently occupied achieving £333 pcm - can be rented for £400
current income = £1,253 pcm = £15,036 per annum
potential income fully let = £1,200 pcm = £14,400 per annum
property no 3
a 5 bedroom licensed hmo property will full wired smoke alarms and alarm system. the property 1 shower room downstairs and one main bathroom upstairs. each room has its own wash basin which is a nice feature.
room 1 - (double) - currently occupied achieving £400 pcm - can be rented for £350 pcm
room 2 - (double) - currently occupied achieving £350 pcm - can be rented for £350 pcm
room 3 - (double) - vacant - can be rented for £350 pcm
room 4 - (double) - vacant - can be rented for £350 pcm
room 5 - (double) - vacant - can be rented for £350 pcm
current income = £750 pcm = £9,000 per annum
potential income fully let = £1,750 pcm = £21,000 per annum
property no 4
3 self contained apartments with cooking facilities and en-suite with a large shared kitchen on the ground floor.
apartment 1 - currently occupied achieving £600 – can be rented for £400
apartment 2 - currently occupied achieving £500 – can be rented for £400
apartment 3 - currently occupied achieving £476 – can be rented for £400
current income = £1,576 pcm = £18,912 per annum
potential income fully let = £1,200 pcm = £14,400 per annum
property no 5
a 5 bedroom licensed hmo property will full wired smoke alarms and alarm system. the property 1 shower room downstairs and one main bathroom upstairs. each room has its own wash basin which is a nice feature.
room 1 - (double) - vacant - can be rented for £350
room 2 - (double) - vacant - can be rented for £350
room 3 - (double) - vacant - can be rented for £350
room 4 - (double) - vacant - can be rented for £350
room 5 - (double) - vacant - can be rented for £350
potential income fully let = £1,750 pcm = £21,000 per annum
property no 6
a 5 bedroom licensed hmo property will full wired smoke alarms and alarm system. the property 1 shower room downstairs and one main bathroom upstairs. each room has its own wash basin which is a nice feature.
room 1 - (double) - vacant - can be rented for £350
room 2 - (double) - vacant - can be rented for £350
room 3 - (double) - vacant - can be rented for £350
room 4 - (double) - vacant - can be rented for £350
room 5 - (double) - vacant - can be rented for £350
potential income fully let = £1,750 pcm = £21,000 per annum",,,,,,"£4,000",,,"£4,800£26,4006"
32,"Darnley Street, Gravesend, Kent, DA11 0PJ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=453,"  floor flat - occupied - paying £500 pcm
house rental options :
as a single let = £1,200 pcm
as 3 bed hmo = each room could achieve £600 pcm each = £1,800 pcm
potential income as house & flat = £1,700 pcm = £20,400 per annum
potential income as house & 3 bed hmo = £2,300 pcm = £27,600 per annum",11%,"£360,000",,,"£1,000","£4,000","£14,760",,"£113,800"
33,"Church Hill Road, Ormskirk, Liverpool, L39 3BB",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=452,"  are ready to let and can achieve:
room 1 - vacant but previously achieving £120 pw (ensuite)
room 2 - vacant but previously achieving £110 pw
room 3 - vacant but previously achieving £105 pw
room 4 - vacant but previously achieving £110 pw
room 5 - vacant but previously achieving £115 pw
potential gross income = £2,426 pcm = £29,120 per annum",220%,,,,,"£5,000",,,"£6,000"
34,"Hitchin Road, Luton, LU2 7SL",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=451," 2  are currently let out for an average of £440 pcm producing £10,560 annually. when fully let can produce £21,120
room 1 – currently rented at £440 pcm
room 2 – currently rented at £440 pcm
room 3 – vacant but previously rented at £440 pcm
room 4 – vacant but previously rented at £440 pcm
current income = £880 pcm = £10,560 per annum
potential income fully let = £1,760 pcm = £21,120 per annum",11%,"£275,000",,,£812,"£5,000","£10,560","£21,120","£86,750"
35,"Hele Road, Torquay, TQ2 7PR",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=450,"  with bluechip company = £1,820 pcm = £21,840 per annum
potential income let individually at £325pcm per room = £1,950 pcm = £23,400 per annum ",20%,"£235,000",,,"£1,233","£6,000","£21,840",,"£75,000"
36,"Rylands Road, Warrington, WA2 7DY",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=449,"  = £515 pcm = £6,180 per annum",12%,"£79,400","£90,000",17%,£274,"£4,000","£6,180",,"£27,232"
37,"Elm Crescent, Skegness, PE24 5EG",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=422,"  is currently vacant but can be let for £800 pcm = £9,600 pcm",11%,"£148,000","£200,000+",26%,£430,"£4,000",,"£9,600","£46,900"
38,"Churchward Close, Chester, CH2 2BG",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=447,"  are rented out as follows.
room 1 – rented for £100 pw
room 2 – rented for £100 pw
room 3 – rented for £95 pw (vacant)
room 4 – rented for £95 pw
room 5 – rented for £110 pw (ensuite)
room 6 – rented for £110 pw (ensuite)
current income = £2,231pcm = £26,780 per annum
potential income when fully let = £2,643 pcm = £31,720 per annum",17%,"£327,000",,,"£1,435","£5,000",,,"£103,910"
39,"Munderfield, near Bromyard, Herefordshire, HR7 4JT",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=445,,,"£340,000",,,,"£6,000",,,"£144,000"
40,"Linden Court, Egerton, Surrey, TW20 0TG",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=444,"  at £1,450 pcm = £17,400 per annum",10%,"£325,000","£375,000+",,£841,"£3,000","£17,400",,"£101,250"
41,"Hackworth Street, Ferryhill, County Durham, DL17 8NQ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=266,"  income is £350 pcm = £4,200 per annum",25%,"£39,999","£50,000+",20%,,"£2,000","£4,200",,"£13,000"
42,"Barry Street, Burnley, BB12 6DT",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=439,"  = the property is currently at £918 pcm = £11,016
potential income as a hmo :
room 1 - potential to rent for £400 pcm
room 2 - potential to rent for £400 pcm
room 3 - potential to rent for £400 pcm
room 4 - potential to rent for £400 pcm
room 5 - potential to rent for £400 pcm
potential income as :
4 bed hmo = £1,600 pcm = £19,200 per annum
5 bed hmo = £2,000 pcm = £24,000 per annum",34%,"£120,000",,,"£1,380","£4,000","£11,016","5£24,000","£38,600£48,600"
43,"Astbury Drive, Cheshire, CW8 4PX",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=438,"  is currently vacant but can be let for £700 pcm = £8,400 pcm",16%,"£112,000","£140,000",20%,£490,"£3,000",,"£8,400","£35,360"
44,"Craven Terrace, London, W2 3QD",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=431,"  (75% ltv) at 3% = £994 pcm
management fee (7.20 % incl of vat) = £116 pcm
service charges and ground rent (est.) = £50 pcm
cash flow after costs
managed £447 pcm = £5,364 per annum
self managed £563 pcm = £ 6,756 per annum",,"£530,000","£600,000+",12%,£563,"£6,000",,,"£175,100"
45,"Monson Street, Lincoln, LN5 7RZ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=429,",  are 3 of the 7 rooms are currently let;
current rental figures (average £96/room/week):
current income =
room 1 = vacant but could achieve £434 pcm
room 2 = vacant but could achieve £434 pcm
room 3 = vacant but could achieve £400 pcm
room 4 = vacant but could achieve £400 pcm
room 5 = current let producing £433 pcm
room 6 = current let producing £398 pcm
room 7 = current let producing £433 pcm
current income = £1,264 pcm = £15,168
income fully let = £2,933 pcm = £35,184
potential income with rent increase
room 1 = potential to achieve £455 pcm
room 2 = potential to achieve £455 pcm
room 3 = potential to achieve £418 pcm
room 4 = potential to achieve £418 pcm
room 5 = potential to achieve £453 pcm
room 6 = potential to achieve £416 pcm
room 7 = potential to achieve £453 pcm
potential income total = £3,068 pcm = £36,816 pe",24%,"£299,950",,8%,"£1,864","£5,000",,"£36,838","£94,983"
46,"Bishop Road, Garnant, Ammanford, SA18 1NA",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=426,,,"£42,000(3)",,,,"£4,500",,,"£22,300"
47,"Charles Street, Darlington, DL1 2HU",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=331,"  local agent: £375pcm = £4,500 per annum",29%,"£35,000",,42%,£310,"£3,000",,"£4,500","£12,750"
48,"Hebron Road, Clydach, Swansea, SA6 5EJ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=423," 4  @  £350 pcm = £1,400 pcm",,"£94,000",,43%,£905,"£4,000",,"£16,800","£31,320+"
49,"New Road, Skewen, Neath, SA10 7NN",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=421,"  room would command around £ 350 pcm
room 1 – potential to achieve £350 pcm
room 2 – potential to achieve £350 pcm
room 3 – potential to achieve £350 pcm 
room 4 – potential to achieve £350 pcm
potential income = £1,400 pcm = £16,800 per annum",,"£100,000","£150,000+",33%,£850,"£5,000",,"£16,800+","£34,000+"
50,"Regent Street, Reading, RG1 3NN",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=420,"  is currently let on one ast.
separately the rooms can be let for
room 1 – potential to rent at £650 pm
room 2 – potential to rent at £600 pm
room 3 – potential to rent at £550 pm
room 4 – potential to rent at £525 pm
potential income = £2,325 pcm £27,900 per annum
we believe that rooms in this location, after a high-end level refurbishment can achieve a rent around £650 - £700 per room.",113%,,,,,"£3,000",,"£28,116","£7,700"
51,"Cromwell Rd, Peterborough, PE1 2EB",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=418,,30%,"£168,000",,,"£1,498","£4,000","£5,520","£25,800","£60,760"
52,"Mill Road, Liverpool, L6 2AG",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=417,"  9 bed hmo £80 per week, this would calculate as £37,440 per annum
depending on floor layout/ size you may get 11 beds not 9. this would add another £8,320 of income per annum = £45,760 per annum",22%,"£295,000","£375,000+",,"£1,798","£6,000","£37,440+",,"£100,000"
53,"Yarm Lane, Stockton On Tees, TS18 3DT",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=415,"  based on commercial unit & 5 bed hmo
commercial unit on ground floor - potential to achieve £500 pcm
room 1 – potential to achieve £350 pcm
room 2 – potential to achieve £350 pcm
room 3 – potential to achieve £350 pcm
room 4 – potential to achieve £350 pcm
room 5 – potential to achieve £350 pcm
potential income = £2,250 pcm = £27,000 per annum",93%,5£150000,,,,"£6,000",,,"£44,500,5."
54,"Star Road, Peterborough, PE1 5HT",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=414,"  to assess the potential of this property, it have been calculated as a 6, 7, 8 and 9 bed property.
6 bed hmo = £2,400 projected rental income (£400 x 6 double)
7 bed hmo (after planning) = £2,800 projected rental income (£400 x 7 double)
8 bed hmo (after planning) = £3,200 projected rental income (£400 x 8 double)
9 bed hmo (after planning) = £3,600 projected rental income (£400 x 9 double)",21%,"£320,000",,,"£2,215","£5,000",,"£43,200","£126,600"
